address,Date,price,event
"6 Orbaek Ln, Pleasantville, NY 10570",03/15/2019,"$610,000",Sold
"6 Orbaek Ln, Pleasantville, NY 10570",01/14/2019,"$647,500",Posting Removed
"6 Orbaek Ln, Pleasantville, NY 10570",11/30/2018,"$647,500",Price Change
"6 Orbaek Ln, Pleasantville, NY 10570",10/23/2018,"$649,000",Price Change
"6 Orbaek Ln, Pleasantville, NY 10570",10/10/2018,"$659,000",Price Change
"6 Orbaek Ln, Pleasantville, NY 10570",09/21/2018,"$679,000",Price Change
"6 Orbaek Ln, Pleasantville, NY 10570",08/29/2018,"$699,000",Listed For Sale
"36 Willis Pl, Pleasantville, NY 10570",03/01/2019,"$946,000",Sold
"36 Willis Pl, Pleasantville, NY 10570",12/11/2018,"$954,900",Posting Removed
"36 Willis Pl, Pleasantville, NY 10570",10/26/2018,"$954,900",Price Change
"36 Willis Pl, Pleasantville, NY 10570",10/09/2018,"$959,000",Price Change
"36 Willis Pl, Pleasantville, NY 10570",08/29/2018,"$969,000",Price Change
"36 Willis Pl, Pleasantville, NY 10570",08/23/2018,"$984,500",Price Change
"36 Willis Pl, Pleasantville, NY 10570",08/08/2018,"$999,000",Listed For Sale
"36 Willis Pl, Pleasantville, NY 10570",12/22/2014,"$250,000",Sold
"36 Willis Pl, Pleasantville, NY 10570",07/17/2014,"$555,000",Sold
"2 Fairway Dr, Pleasantville, NY 10570",02/26/2019,"$780,000",Sold
"2 Fairway Dr, Pleasantville, NY 10570",01/12/2019,"$849,000",Posting Removed
"2 Fairway Dr, Pleasantville, NY 10570",01/11/2019,"$849,000",Pending
"2 Fairway Dr, Pleasantville, NY 10570",12/11/2018,"$849,000",Price Change
"2 Fairway Dr, Pleasantville, NY 10570",12/02/2018,"$899,000",Posting Removed
"2 Fairway Dr, Pleasantville, NY 10570",10/24/2018,"$899,000",Price Change
"2 Fairway Dr, Pleasantville, NY 10570",09/05/2018,"$949,000",Price Change
"2 Fairway Dr, Pleasantville, NY 10570",09/02/2018,"$999,000",Posting Removed
"2 Fairway Dr, Pleasantville, NY 10570",07/29/2018,"$999,000",Posting Removed
"2 Fairway Dr, Pleasantville, NY 10570",07/01/2018,"$999,000",Posting Removed
"2 Fairway Dr, Pleasantville, NY 10570",06/05/2018,"$999,000",Listed For Sale
"2 Fairway Dr, Pleasantville, NY 10570",09/18/2015,"$925,000",Posting Removed
"2 Fairway Dr, Pleasantville, NY 10570",10/20/2014,"$925,000",Listed For Sale
"2 Fairway Dr, Pleasantville, NY 10570",07/17/2009,"$6,800",Posting Removed
"2 Fairway Dr, Pleasantville, NY 10570",10/08/2008,"$6,800",Listed For Sale
"22 Marling Ln, Pleasantville, NY 10570",02/15/2019,"$1,300,000",Sold
"22 Marling Ln, Pleasantville, NY 10570",10/15/2018,"$1,275,000",Posting Removed
"22 Marling Ln, Pleasantville, NY 10570",09/25/2018,"$1,275,000",Price Change
"22 Marling Ln, Pleasantville, NY 10570",09/07/2018,"$1,325,000",Price Change
"22 Marling Ln, Pleasantville, NY 10570",06/15/2018,"$1,399,000",Price Change
"22 Marling Ln, Pleasantville, NY 10570",04/27/2018,"$1,469,000",Listed For Sale
"22 Marling Ln, Pleasantville, NY 10570",09/05/2013,"$1,235,000",Sold
"22 Marling Ln, Pleasantville, NY 10570",08/27/2013,"$1,295,000",Posting Removed
"22 Marling Ln, Pleasantville, NY 10570",06/21/2013,"$1,295,000",Listed For Sale
"22 Marling Ln, Pleasantville, NY 10570",05/14/2013,"$1,295,000",Posting Removed
"22 Marling Ln, Pleasantville, NY 10570",04/12/2013,"$1,295,000",Price Change
"22 Marling Ln, Pleasantville, NY 10570",07/24/2012,"$1,495,000",Listed For Sale
"296 Bear Ridge Rd, Pleasantville, NY 10570",02/14/2019,"$967,000",Sold
"296 Bear Ridge Rd, Pleasantville, NY 10570",01/03/2019,"$979,000",Posting Removed
"296 Bear Ridge Rd, Pleasantville, NY 10570",11/13/2018,"$979,000",Price Change
"296 Bear Ridge Rd, Pleasantville, NY 10570",07/16/2018,"$995,000",Listed For Sale
"296 Bear Ridge Rd, Pleasantville, NY 10570",03/26/2018,"$485,000",Sold
"296 Bear Ridge Rd, Pleasantville, NY 10570",01/30/2018,"$532,000",Posting Removed
"296 Bear Ridge Rd, Pleasantville, NY 10570",11/22/2017,"$532,000",Listed For Sale
"296 Bear Ridge Rd, Pleasantville, NY 10570",08/02/1996,"$268,750",Sold
"35 Stephen Dr, Pleasantville, NY 10570",02/04/2019,"$662,500",Sold
"35 Stephen Dr, Pleasantville, NY 10570",01/02/2019,"$675,000",Posting Removed
"35 Stephen Dr, Pleasantville, NY 10570",12/18/2018,"$675,000",Pending
"35 Stephen Dr, Pleasantville, NY 10570",10/30/2018,"$675,000",Price Change
"35 Stephen Dr, Pleasantville, NY 10570",09/24/2018,"$700,000",Price Change
"35 Stephen Dr, Pleasantville, NY 10570",09/04/2018,"$750,000",Price Change
"35 Stephen Dr, Pleasantville, NY 10570",08/31/2018,"$775,000",Posting Removed
"35 Stephen Dr, Pleasantville, NY 10570",07/20/2018,"$775,000",Price Change
"35 Stephen Dr, Pleasantville, NY 10570",06/25/2018,"$800,000",Price Change
"35 Stephen Dr, Pleasantville, NY 10570",05/30/2018,"$825,000",Listed For Sale
"121 Oak Dr, Pleasantville, NY 10570",01/29/2019,"$784,900",Sold
"121 Oak Dr, Pleasantville, NY 10570",11/09/2018,"$784,900",Posting Removed
"121 Oak Dr, Pleasantville, NY 10570",10/18/2018,"$784,900",Listed For Sale
"121 Oak Dr, Pleasantville, NY 10570",10/28/2013,"$750,000",Sold
"121 Oak Dr, Pleasantville, NY 10570",08/17/2013,"$755,000",Posting Removed
"121 Oak Dr, Pleasantville, NY 10570",05/14/2013,"$755,000",Price Change
"121 Oak Dr, Pleasantville, NY 10570",04/24/2013,"$759,000",Listed For Sale
"52 Clinton Ave, Pleasantville, NY 10570",01/23/2019,"$673,000",Sold
"52 Clinton Ave, Pleasantville, NY 10570",10/09/2018,"$668,000",Posting Removed
"52 Clinton Ave, Pleasantville, NY 10570",10/08/2018,"$668,000",Pending
"52 Clinton Ave, Pleasantville, NY 10570",09/06/2018,"$668,000",Listed For Sale
"52 Clinton Ave, Pleasantville, NY 10570",11/13/2013,"$575,000",Sold
"52 Clinton Ave, Pleasantville, NY 10570",11/02/2013,"$575,000",Posting Removed
"52 Clinton Ave, Pleasantville, NY 10570",09/23/2013,"$575,000",Pending
"52 Clinton Ave, Pleasantville, NY 10570",07/19/2013,"$575,000",Price Change
"52 Clinton Ave, Pleasantville, NY 10570",05/05/2013,"$599,000",Price Change
"52 Clinton Ave, Pleasantville, NY 10570",03/29/2013,"$625,000",Price Change
"52 Clinton Ave, Pleasantville, NY 10570",02/27/2013,"$635,000",Listed For Sale
"52 Clinton Ave, Pleasantville, NY 10570",11/14/2012,"$645,000",Posting Removed
"52 Clinton Ave, Pleasantville, NY 10570",04/03/2012,"$645,000",Listed For Sale
"52 Clinton Ave, Pleasantville, NY 10570",07/06/2011,"$599,000",Posting Removed
"52 Clinton Ave, Pleasantville, NY 10570",05/21/2011,"$599,000",Listed For Sale
"52 Clinton Ave, Pleasantville, NY 10570",03/28/2000,"$340,000",Sold
"612 Washington Ave, Pleasantville, NY 10570",01/04/2019,"$420,000",Sold
"612 Washington Ave, Pleasantville, NY 10570",11/14/2018,"$435,000",Posting Removed
"612 Washington Ave, Pleasantville, NY 10570",10/12/2018,"$435,000",Listed For Sale
"612 Washington Ave, Pleasantville, NY 10570",06/14/2004,"$400,000",Sold
"51 Cedar Ave, Pleasantville, NY 10570",12/26/2018,"$1,025,000",Posting Removed
"51 Cedar Ave, Pleasantville, NY 10570",12/26/2018,"$973,000",Sold
"51 Cedar Ave, Pleasantville, NY 10570",11/02/2018,"$1,025,000",Pending
"51 Cedar Ave, Pleasantville, NY 10570",09/21/2018,"$1,025,000",Posting Removed
"51 Cedar Ave, Pleasantville, NY 10570",09/17/2018,"$1,025,000",Posting Removed
"51 Cedar Ave, Pleasantville, NY 10570",08/07/2018,"$1,025,000",Price Change
"51 Cedar Ave, Pleasantville, NY 10570",06/25/2018,"$1,049,000",Price Change
"51 Cedar Ave, Pleasantville, NY 10570",04/30/2018,"$1,149,000",Listed For Sale
"12 Wyeth Ct, Pleasantville, NY 10570",12/07/2018,"$5,300",Sold
"12 Wyeth Ct, Pleasantville, NY 10570",03/02/2015,"$5,700",Sold
"223 Central Ave, Pleasantville, NY 10570",11/29/2018,"$782,000",Sold
"223 Central Ave, Pleasantville, NY 10570",09/12/2018,"$799,000",Posting Removed
"223 Central Ave, Pleasantville, NY 10570",07/17/2018,"$799,000",Price Change
"223 Central Ave, Pleasantville, NY 10570",05/18/2018,"$850,000",Listed For Sale
"22 The Gln, Pleasantville, NY 10570",11/15/2018,"$509,000",Sold
"22 The Gln, Pleasantville, NY 10570",07/09/2018,"$509,000",Sold
"22 The Gln, Pleasantville, NY 10570",07/08/2018,"$409,000",Sold
"22 The Gln, Pleasantville, NY 10570",04/23/2018,"$510,000",Posting Removed
"22 The Gln, Pleasantville, NY 10570",04/18/2018,"$510,000",Pending
"22 The Gln, Pleasantville, NY 10570",04/09/2018,"$510,000",Listed For Sale
"22 The Gln, Pleasantville, NY 10570",03/08/2018,"$498,000",Listed For Sale
"22 The Gln, Pleasantville, NY 10570",03/01/2017,"$459,500",Posting Removed
"22 The Gln, Pleasantville, NY 10570",02/23/2017,"$459,500",Listed For Sale
"22 The Gln, Pleasantville, NY 10570",09/25/2016,"$449,500",Posting Removed
"22 The Gln, Pleasantville, NY 10570",08/05/2016,"$449,500",Price Change
"22 The Gln, Pleasantville, NY 10570",07/08/2016,"$489,000",Listed For Sale
"22 The Gln, Pleasantville, NY 10570",10/08/2015,"$342,500",Posting Removed
"22 The Gln, Pleasantville, NY 10570",09/14/2015,"$342,500",Price Change
"22 The Gln, Pleasantville, NY 10570",07/16/2015,"$349,000",Price Change
"22 The Gln, Pleasantville, NY 10570",05/11/2015,"$429,990",Listed For Sale
"40-4 Foxwood Dr, Pleasantville, NY 10570",11/05/2018,"$445,000",Sold
"40-4 Foxwood Dr, Pleasantville, NY 10570",08/19/2013,"$400,000",Sold
"3 Bayberry Dr, Pleasantville, NY 10570",10/31/2018,"$1,370,000",Sold
"3 Bayberry Dr, Pleasantville, NY 10570",08/14/2018,"$1,590,000",Posting Removed
"3 Bayberry Dr, Pleasantville, NY 10570",05/29/2018,"$1,590,000",Listed For Sale
"3 Bayberry Dr, Pleasantville, NY 10570",04/18/2005,"$850,000",Sold
"27 Temple Pl, Pleasantville, NY 10570",10/15/2018,"$583,500",Sold
"27 Temple Pl, Pleasantville, NY 10570",10/05/2018,"$584,900",Posting Removed
"27 Temple Pl, Pleasantville, NY 10570",08/13/2018,"$584,900",Pending
"27 Temple Pl, Pleasantville, NY 10570",07/18/2018,"$584,900",Listed For Sale
"27 Temple Pl, Pleasantville, NY 10570",02/15/2018,"$384,000",Sold
"27 Temple Pl, Pleasantville, NY 10570",02/23/2017,"$449,000",Posting Removed
"27 Temple Pl, Pleasantville, NY 10570",11/25/2016,"$449,000",Listed For Sale
"27 Temple Pl, Pleasantville, NY 10570",07/05/2016,"$469,000",Posting Removed
"27 Temple Pl, Pleasantville, NY 10570",05/19/2016,"$469,000",Listed For Sale
"178 Choate Ln, Pleasantville, NY 10570",10/01/2018,"$140,000",Sold
"178 Choate Ln, Pleasantville, NY 10570",08/10/2018,"$139,000",Posting Removed
"178 Choate Ln, Pleasantville, NY 10570",07/23/2018,"$139,000",Listed For Sale
"8 Highland Ter, Pleasantville, NY 10570",09/27/2018,"$855,000",Sold
"8 Highland Ter, Pleasantville, NY 10570",07/28/2018,"$869,000",Posting Removed
"8 Highland Ter, Pleasantville, NY 10570",07/02/2018,"$869,000",Listed For Sale
"8 Highland Ter, Pleasantville, NY 10570",10/01/2014,"$810,000",Sold
"8 Highland Ter, Pleasantville, NY 10570",08/01/2014,"$839,000",Posting Removed
"8 Highland Ter, Pleasantville, NY 10570",06/22/2014,"$839,000",Price Change
"8 Highland Ter, Pleasantville, NY 10570",06/08/2014,"$879,000",Price Change
"8 Highland Ter, Pleasantville, NY 10570",05/30/2014,"$899,000",Listed For Sale
"8 Highland Ter, Pleasantville, NY 10570",11/25/2008,"$900,000",Sold
"8 Highland Ter, Pleasantville, NY 10570",09/23/2008,"$919,000",Posting Removed
"8 Highland Ter, Pleasantville, NY 10570",07/01/2008,"$919,000",Price Change
"8 Highland Ter, Pleasantville, NY 10570",03/17/2008,"$900,000",Listed For Sale
"8 Highland Ter, Pleasantville, NY 10570",03/04/2005,"$862,500",Sold
"8 Highland Ter, Pleasantville, NY 10570",08/21/2002,"$660,000",Sold
"2 Grandview Cir, Pleasantville, NY 10570",09/25/2018,"$925,000",Sold
"2 Grandview Cir, Pleasantville, NY 10570",08/01/2018,"$950,000",Posting Removed
"2 Grandview Cir, Pleasantville, NY 10570",07/09/2018,"$950,000",Listed For Sale
"2 Grandview Cir, Pleasantville, NY 10570",08/27/1998,"$410,000",Sold
