address,Date,price,event
"177 Manville Rd, Pleasantville, NY 10570",06/14/2019,"$999,999",Sold
"177 Manville Rd, Pleasantville, NY 10570",03/16/2019,"$999,999",Posting Removed
"177 Manville Rd, Pleasantville, NY 10570",02/28/2019,"$999,999",Listed For Sale
"177 Manville Rd, Pleasantville, NY 10570",07/11/2014,"$952,500",Sold
"177 Manville Rd, Pleasantville, NY 10570",05/17/2014,"$979,000",Posting Removed
"177 Manville Rd, Pleasantville, NY 10570",04/07/2014,"$979,000",Listed For Sale
"177 Manville Rd, Pleasantville, NY 10570",09/24/1996,"$306,000",Sold
"476 Washington Ave, Pleasantville, NY 10570",05/16/2019,"$390,000",Sold
"476 Washington Ave, Pleasantville, NY 10570",05/13/2019,"$399,900",Posting Removed
"476 Washington Ave, Pleasantville, NY 10570",05/03/2019,"$399,900",Pending
"476 Washington Ave, Pleasantville, NY 10570",04/15/2019,"$399,900",Price Change
"476 Washington Ave, Pleasantville, NY 10570",03/21/2019,"$418,000",Listed For Sale
"476 Washington Ave, Pleasantville, NY 10570",02/22/2018,"$743,337",Sold
"476 Washington Ave, Pleasantville, NY 10570",04/29/2017,"$399,990",Posting Removed
"476 Washington Ave, Pleasantville, NY 10570",02/10/2017,"$399,990",Listed For Sale
"78 Sunnyside Ave, Pleasantville, NY 10570",05/03/2019,"$749,000",Posting Removed
"78 Sunnyside Ave, Pleasantville, NY 10570",05/03/2019,"$780,000",Sold
"78 Sunnyside Ave, Pleasantville, NY 10570",02/27/2019,"$749,000",Pending
"78 Sunnyside Ave, Pleasantville, NY 10570",01/28/2019,"$749,000",Listed For Sale
"4 Deerfield Ln S, Pleasantville, NY 10570",04/30/2019,"$523,500",Sold
"4 Deerfield Ln S, Pleasantville, NY 10570",03/08/2019,"$535,000",Posting Removed
"4 Deerfield Ln S, Pleasantville, NY 10570",02/21/2019,"$535,000",Pending
"4 Deerfield Ln S, Pleasantville, NY 10570",01/09/2019,"$535,000",Price Change
"4 Deerfield Ln S, Pleasantville, NY 10570",11/09/2018,"$565,000",Price Change
"4 Deerfield Ln S, Pleasantville, NY 10570",08/10/2018,"$585,000",Price Change
"4 Deerfield Ln S, Pleasantville, NY 10570",08/01/2018,"$599,999",Posting Removed
"4 Deerfield Ln S, Pleasantville, NY 10570",07/11/2018,"$599,999",Price Change
"4 Deerfield Ln S, Pleasantville, NY 10570",06/13/2018,"$650,000",Listed For Sale
"4 Deerfield Ln S, Pleasantville, NY 10570",07/03/2012,"$499,000",Posting Removed
"4 Deerfield Ln S, Pleasantville, NY 10570",04/27/2012,"$499,000",Price Change
"4 Deerfield Ln S, Pleasantville, NY 10570",02/21/2012,"$545,000",Listed For Sale
"4 Deerfield Ln S, Pleasantville, NY 10570",12/31/2011,"$535,000",Posting Removed
"4 Deerfield Ln S, Pleasantville, NY 10570",12/01/2011,"$535,000",Price Change
"4 Deerfield Ln S, Pleasantville, NY 10570",10/02/2011,"$549,000",Price Change
"4 Deerfield Ln S, Pleasantville, NY 10570",09/11/2011,"$599,000",Price Change
"4 Deerfield Ln S, Pleasantville, NY 10570",07/31/2011,"$629,000",Listed For Sale
"4 Deerfield Ln S, Pleasantville, NY 10570",05/12/2005,"$500,000",Sold
"17 Cecilia Ln, Pleasantville, NY 10570",04/25/2019,"$1,100,000",Sold
"17 Cecilia Ln, Pleasantville, NY 10570",02/19/2019,"$1,130,000",Posting Removed
"17 Cecilia Ln, Pleasantville, NY 10570",01/29/2019,"$1,130,000",Listed For Sale
"17 Cecilia Ln, Pleasantville, NY 10570",06/29/2015,"$1,100,000",Sold
"17 Cecilia Ln, Pleasantville, NY 10570",04/10/2015,"$1,065,000",Posting Removed
"17 Cecilia Ln, Pleasantville, NY 10570",04/09/2015,"$1,065,000",Listed For Sale
"17 Cecilia Ln, Pleasantville, NY 10570",02/17/2015,"$1,065,000",Posting Removed
"17 Cecilia Ln, Pleasantville, NY 10570",02/03/2015,"$1,065,000",Listed For Sale
"17 Cecilia Ln, Pleasantville, NY 10570",06/01/2012,"$860,000",Sold
"17 Cecilia Ln, Pleasantville, NY 10570",12/31/2011,"$918,500",Posting Removed
"17 Cecilia Ln, Pleasantville, NY 10570",11/14/2011,"$950,000",Sold
"17 Cecilia Ln, Pleasantville, NY 10570",11/11/2011,"$918,500",Price Change
"17 Cecilia Ln, Pleasantville, NY 10570",08/25/2011,"$949,000",Price Change
"17 Cecilia Ln, Pleasantville, NY 10570",07/22/2011,"$999,000",Price Change
"17 Cecilia Ln, Pleasantville, NY 10570",06/11/2011,"$1,068,000",Listed For Sale
"17 Cecilia Ln, Pleasantville, NY 10570",03/30/2005,"$995,000",Sold
"43 Brookfield Pl, Pleasantville, NY 10570",04/08/2019,"$990,000",Sold
"43 Brookfield Pl, Pleasantville, NY 10570",04/06/2019,"$949,000",Posting Removed
"43 Brookfield Pl, Pleasantville, NY 10570",02/25/2019,"$949,000",Listed For Sale
"43 Brookfield Pl, Pleasantville, NY 10570",08/06/2008,"$851,000",Sold
"43 Brookfield Pl, Pleasantville, NY 10570",07/17/2008,"$799,000",Posting Removed
"43 Brookfield Pl, Pleasantville, NY 10570",06/20/2008,"$799,000",Listed For Sale
"43 Brookfield Pl, Pleasantville, NY 10570",11/28/2007,"$850,000",Sold
"43 Brookfield Pl, Pleasantville, NY 10570",07/22/1998,"$380,000",Sold
