address,Date,price,event
32 Overbrook Dr,11/16/2018,"$700,000",Sold
32 Overbrook Dr,10/25/2018,"$750,000",Posting Removed
32 Overbrook Dr,08/31/2018,"$750,000",Price Change
32 Overbrook Dr,08/08/2018,"$799,000",Posting Removed
32 Overbrook Dr,06/20/2018,"$799,000",Price Change
32 Overbrook Dr,05/29/2018,"$829,000",Price Change
32 Overbrook Dr,04/11/2018,"$849,000",Listed For Sale
32 Overbrook Dr,12/01/2017,"$899,999",Posting Removed
32 Overbrook Dr,10/30/2017,"$899,999",Price Change
32 Overbrook Dr,10/18/2017,"$939,000",Listed For Sale
32 Overbrook Dr,10/07/2014,"$650,000",Sold
32 Overbrook Dr,09/08/2014,"$699,000",Posting Removed
32 Overbrook Dr,07/28/2014,"$699,000",Listed For Sale
32 Overbrook Dr,12/30/2011,"$735,000",Posting Removed
32 Overbrook Dr,08/16/2011,"$735,000",Listed For Sale
32 Overbrook Dr,11/03/2010,"$799,000",Posting Removed
32 Overbrook Dr,03/20/2010,"$799,000",Listed For Sale
32 Overbrook Dr,08/25/2009,"$869,000",Posting Removed
32 Overbrook Dr,05/29/2008,"$869,000",Listed For Sale
33 Shingle House Rd,10/04/2018,"$965,000",Sold
33 Shingle House Rd,10/06/2006,"$1,040,000",Sold
