address,region,Date,price,event
2 1st St,"Syosset, NY 11791",06/13/2019,"$539,000",Posting Removed
2 1st St,"Syosset, NY 11791",06/12/2019,"$539,000",Sold
2 1st St,"Syosset, NY 11791",04/02/2019,"$539,000",Pending
2 1st St,"Syosset, NY 11791",03/14/2019,"$539,000",Price Change
2 1st St,"Syosset, NY 11791",02/14/2019,"$575,000",Listed For Sale
2 1st St,"Syosset, NY 11791",10/15/2004,"$560,000",Sold
2 1st St,"Syosset, NY 11791",12/07/2001,"$379,000",Sold
13 Preston Ln,"Syosset, NY 11791",06/07/2019,"$599,000",Posting Removed
13 Preston Ln,"Syosset, NY 11791",06/06/2019,"$590,000",Sold
13 Preston Ln,"Syosset, NY 11791",03/08/2019,"$599,000",Pending
13 Preston Ln,"Syosset, NY 11791",02/27/2019,"$599,000",Price Change
13 Preston Ln,"Syosset, NY 11791",02/13/2019,"$618,000",Listed For Sale
15 Parkway Dr,"Syosset, NY 11791",06/05/2019,"$690,000",Sold
15 Parkway Dr,"Syosset, NY 11791",04/11/2019,"$712,000",Posting Removed
15 Parkway Dr,"Syosset, NY 11791",02/19/2019,"$712,000",Pending to Active Status
15 Parkway Dr,"Syosset, NY 11791",01/19/2019,"$712,000",Price Change
15 Parkway Dr,"Syosset, NY 11791",01/02/2019,"$719,000",Price Change
15 Parkway Dr,"Syosset, NY 11791",12/22/2018,"$728,000",Posting Removed
15 Parkway Dr,"Syosset, NY 11791",12/12/2018,"$728,000",Price Change
15 Parkway Dr,"Syosset, NY 11791",10/05/2018,"$738,888",Listed For Sale
4 Russell Park Rd,"Syosset, NY 11791",06/04/2019,"$725,000",Sold
4 Russell Park Rd,"Syosset, NY 11791",03/27/2019,"$749,000",Posting Removed
4 Russell Park Rd,"Syosset, NY 11791",02/20/2019,"$749,000",Listed For Sale
4 Russell Park Rd,"Syosset, NY 11791",01/26/2019,"$738,888",Listed For Sale
4 Russell Park Rd,"Syosset, NY 11791",01/25/2019,"$738,888",Listed For Sale
4 Russell Park Rd,"Syosset, NY 11791",11/19/2018,"$738,888",Price Change
4 Russell Park Rd,"Syosset, NY 11791",11/13/2018,"$748,888",Listed For Sale
4 Russell Park Rd,"Syosset, NY 11791",11/12/2018,"$759,000",Posting Removed
4 Russell Park Rd,"Syosset, NY 11791",10/04/2018,"$759,000",Price Change
4 Russell Park Rd,"Syosset, NY 11791",09/06/2018,"$769,000",Listed For Sale
4 Russell Park Rd,"Syosset, NY 11791",07/03/2018,"$550,000",Sold
4 Russell Park Rd,"Syosset, NY 11791",02/05/2018,"$580,000",Posting Removed
4 Russell Park Rd,"Syosset, NY 11791",01/25/2018,"$580,000",Listed For Sale
4 Russell Park Rd,"Syosset, NY 11791",06/05/2002,"$485,000",Sold
12 Venus Rd,"Syosset, NY 11791",06/05/2019,"$579,888",Posting Removed
12 Venus Rd,"Syosset, NY 11791",06/03/2019,"$585,000",Sold
12 Venus Rd,"Syosset, NY 11791",04/09/2019,"$579,888",Pending
12 Venus Rd,"Syosset, NY 11791",03/14/2019,"$579,888",Price Change
12 Venus Rd,"Syosset, NY 11791",01/29/2019,"$579,990",Price Change
12 Venus Rd,"Syosset, NY 11791",01/09/2019,"$599,999",Price Change
12 Venus Rd,"Syosset, NY 11791",12/03/2018,"$629,999",Price Change
12 Venus Rd,"Syosset, NY 11791",11/12/2018,"$649,999",Price Change
12 Venus Rd,"Syosset, NY 11791",10/29/2018,"$689,999",Listed For Sale
12 Venus Rd,"Syosset, NY 11791",08/13/2018,"$275,000",Sold
12 Venus Rd,"Syosset, NY 11791",09/02/2005,"$92,610",Sold
12 Venus Rd,"Syosset, NY 11791",08/24/1995,"$170,000",Sold
15 Hillvale Rd,"Syosset, NY 11791",05/30/2019,"$730,000",Sold
15 Hillvale Rd,"Syosset, NY 11791",10/30/2018,"$768,888",Posting Removed
15 Hillvale Rd,"Syosset, NY 11791",09/18/2018,"$768,888",Listed For Sale
41 Jean Pl,"Syosset, NY 11791",06/05/2019,"$699,000",Posting Removed
41 Jean Pl,"Syosset, NY 11791",05/30/2019,"$687,500",Sold
41 Jean Pl,"Syosset, NY 11791",03/29/2019,"$699,000",Pending to Active Status
41 Jean Pl,"Syosset, NY 11791",10/06/2017,"$600,000",Listed For Sale
41 Jean Pl,"Syosset, NY 11791",12/09/2014,"$659,000",Posting Removed
41 Jean Pl,"Syosset, NY 11791",11/15/2014,"$659,000",Price Change
41 Jean Pl,"Syosset, NY 11791",09/20/2014,"$699,000",Price Change
41 Jean Pl,"Syosset, NY 11791",07/22/2014,"$759,000",Listed For Sale
41 Jean Pl,"Syosset, NY 11791",02/02/1999,"$174,000",Sold
21 5th Pl,"Syosset, NY 11791",05/20/2019,"$780,000",Sold
21 5th Pl,"Syosset, NY 11791",08/08/2016,"$798,000",Sold
21 5th Pl,"Syosset, NY 11791",08/04/2016,"$818,000",Posting Removed
21 5th Pl,"Syosset, NY 11791",05/25/2016,"$818,000",Pending
21 5th Pl,"Syosset, NY 11791",04/28/2016,"$818,000",Listed For Sale
21 5th Pl,"Syosset, NY 11791",08/15/2015,"$950,000",Posting Removed
21 5th Pl,"Syosset, NY 11791",06/10/2015,"$950,000",Listed For Sale
21 5th Pl,"Syosset, NY 11791",11/14/2014,"$950,000",Posting Removed
21 5th Pl,"Syosset, NY 11791",06/10/2014,"$950,000",Listed For Sale
49 Colony Ln,"Syosset, NY 11791",06/15/2019,"$445,001",Price Change
49 Colony Ln,"Syosset, NY 11791",06/14/2019,"$446,617",Price Change
49 Colony Ln,"Syosset, NY 11791",06/13/2019,"$449,506",Price Change
49 Colony Ln,"Syosset, NY 11791",06/11/2019,"$543,428",Price Change
49 Colony Ln,"Syosset, NY 11791",05/16/2019,"$530,000",Sold
49 Colony Ln,"Syosset, NY 11791",05/15/2019,"$543,465",Posting Removed
49 Colony Ln,"Syosset, NY 11791",05/14/2019,"$543,465",Price Change
49 Colony Ln,"Syosset, NY 11791",05/12/2019,"$543,792",Price Change
49 Colony Ln,"Syosset, NY 11791",05/10/2019,"$543,138",Price Change
49 Colony Ln,"Syosset, NY 11791",05/09/2019,"$542,176",Price Change
49 Colony Ln,"Syosset, NY 11791",05/07/2019,"$542,757",Price Change
49 Colony Ln,"Syosset, NY 11791",05/06/2019,"$541,882",Price Change
49 Colony Ln,"Syosset, NY 11791",05/05/2019,"$541,383",Price Change
49 Colony Ln,"Syosset, NY 11791",05/04/2019,"$541,561",Price Change
49 Colony Ln,"Syosset, NY 11791",05/03/2019,"$539,905",Price Change
49 Colony Ln,"Syosset, NY 11791",05/02/2019,"$539,277",Price Change
49 Colony Ln,"Syosset, NY 11791",03/27/2019,"$537,576",Posting Removed
49 Colony Ln,"Syosset, NY 11791",02/11/2019,"$537,576",Price Change
49 Colony Ln,"Syosset, NY 11791",12/19/2018,"$531,835",Posting Removed
49 Colony Ln,"Syosset, NY 11791",12/02/2018,"$519,203",Listed For Sale
49 Colony Ln,"Syosset, NY 11791",08/22/2018,"$519,235",Posting Removed
49 Colony Ln,"Syosset, NY 11791",11/30/2007,"$639,000",Posting Removed
49 Colony Ln,"Syosset, NY 11791",11/13/2007,"$639,000",Listed For Sale
49 Colony Ln,"Syosset, NY 11791",10/19/2006,"$595,000",Sold
38 Cherry Ln E,"Syosset, NY 11791",05/20/2019,"$1,349,000",Posting Removed
38 Cherry Ln E,"Syosset, NY 11791",05/14/2019,"$1,300,000",Sold
38 Cherry Ln E,"Syosset, NY 11791",02/15/2019,"$1,349,000",Pending
