address,Date,price,event
"65 Brookwood Dr, Briarcliff Manor, NY 10510",04/26/2019,"$1,215,000",Sold
"65 Brookwood Dr, Briarcliff Manor, NY 10510",03/05/2019,"$1,284,222",Posting Removed
"65 Brookwood Dr, Briarcliff Manor, NY 10510",10/09/2018,"$1,284,222",Price Change
"65 Brookwood Dr, Briarcliff Manor, NY 10510",05/18/2018,"$1,374,222",Price Change
"65 Brookwood Dr, Briarcliff Manor, NY 10510",04/30/2018,"$1,500,000",Posting Removed
"65 Brookwood Dr, Briarcliff Manor, NY 10510",02/01/2018,"$1,500,000",Listed For Sale
"65 Brookwood Dr, Briarcliff Manor, NY 10510",10/31/2017,"$1,495,000",Posting Removed
"65 Brookwood Dr, Briarcliff Manor, NY 10510",08/01/2017,"$1,495,000",Posting Removed
"65 Brookwood Dr, Briarcliff Manor, NY 10510",06/23/2017,"$1,495,000",Posting Removed
"65 Brookwood Dr, Briarcliff Manor, NY 10510",06/20/2017,"$1,495,000",Price Change
"65 Brookwood Dr, Briarcliff Manor, NY 10510",06/19/2017,"$1,495,000",Posting Removed
"65 Brookwood Dr, Briarcliff Manor, NY 10510",05/18/2017,"$1,649,000",Price Change
"65 Brookwood Dr, Briarcliff Manor, NY 10510",05/03/2017,"$1,970,000",Posting Removed
"65 Brookwood Dr, Briarcliff Manor, NY 10510",04/07/2017,"$1,970,000",Listed For Sale
"65 Brookwood Dr, Briarcliff Manor, NY 10510",08/19/2011,"$1,520,000",Sold
"65 Brookwood Dr, Briarcliff Manor, NY 10510",07/06/2011,"$1,695,000",Posting Removed
"65 Brookwood Dr, Briarcliff Manor, NY 10510",01/27/2011,"$1,695,000",Price Change
"65 Brookwood Dr, Briarcliff Manor, NY 10510",10/25/2010,"$1,799,000",Listed For Sale
"65 Brookwood Dr, Briarcliff Manor, NY 10510",08/07/2000,"$300,000",Sold
"4 Charlotte Ct, Briarcliff Manor, NY 10510",04/02/2019,"$950,000",Sold
"4 Charlotte Ct, Briarcliff Manor, NY 10510",02/10/2019,"$999,999",Posting Removed
"4 Charlotte Ct, Briarcliff Manor, NY 10510",02/09/2019,"$999,999",Pending
"4 Charlotte Ct, Briarcliff Manor, NY 10510",08/13/2018,"$999,999",Listed For Sale
"4 Charlotte Ct, Briarcliff Manor, NY 10510",09/02/2014,"$762,500",Sold
"4 Charlotte Ct, Briarcliff Manor, NY 10510",08/15/2014,"$825,000",Posting Removed
"4 Charlotte Ct, Briarcliff Manor, NY 10510",06/18/2014,"$825,000",Pending
"4 Charlotte Ct, Briarcliff Manor, NY 10510",05/11/2014,"$825,000",Listed For Sale
"4 Charlotte Ct, Briarcliff Manor, NY 10510",09/27/1994,"$183,160",Sold
"170 Revolutionary Rd, Scarborough, NY 10510",03/22/2019,"$825,000",Sold
"170 Revolutionary Rd, Scarborough, NY 10510",02/20/2019,"$825,000",Posting Removed
"170 Revolutionary Rd, Scarborough, NY 10510",01/21/2019,"$825,000",Listed For Sale
"73 Hungerford Rd, Briarcliff Manor, NY 10510",02/28/2019,"$605,000",Sold
"73 Hungerford Rd, Briarcliff Manor, NY 10510",12/20/2018,"$625,000",Posting Removed
"73 Hungerford Rd, Briarcliff Manor, NY 10510",06/18/2018,"$625,000",Listed For Sale
"73 Hungerford Rd, Briarcliff Manor, NY 10510",04/11/2013,"$425,000",Sold
"73 Hungerford Rd, Briarcliff Manor, NY 10510",03/22/2013,"$399,000",Posting Removed
"73 Hungerford Rd, Briarcliff Manor, NY 10510",02/21/2013,"$399,000",Listed For Sale
"73 Hungerford Rd, Briarcliff Manor, NY 10510",11/13/2012,"$399,000",Posting Removed
"73 Hungerford Rd, Briarcliff Manor, NY 10510",10/19/2012,"$399,000",Listed For Sale
"828 Pleasantville Rd, Briarcliff Manor, NY 10510",01/11/2019,"$792,000",Sold
"828 Pleasantville Rd, Briarcliff Manor, NY 10510",10/23/2018,"$799,999",Posting Removed
"828 Pleasantville Rd, Briarcliff Manor, NY 10510",10/04/2018,"$799,999",Listed For Sale
"828 Pleasantville Rd, Briarcliff Manor, NY 10510",11/25/2014,"$767,000",Sold
"6 Greenwood Ct, Briarcliff Manor, NY 10510",11/30/2018,"$737,000",Sold
"115 Scarborough Rd, Briarcliff Manor, NY 10510",11/20/2018,"$860,000",Sold
"115 Scarborough Rd, Briarcliff Manor, NY 10510",09/13/2018,"$879,000",Posting Removed
"115 Scarborough Rd, Briarcliff Manor, NY 10510",07/29/2018,"$879,000",Price Change
"115 Scarborough Rd, Briarcliff Manor, NY 10510",06/23/2018,"$899,000",Price Change
"115 Scarborough Rd, Briarcliff Manor, NY 10510",06/01/2018,"$979,000",Listed For Sale
"115 Scarborough Rd, Briarcliff Manor, NY 10510",04/20/2015,"$854,000",Sold
"115 Scarborough Rd, Briarcliff Manor, NY 10510",04/10/2015,"$898,998",Posting Removed
"115 Scarborough Rd, Briarcliff Manor, NY 10510",04/09/2015,"$898,998",Listed For Sale
"115 Scarborough Rd, Briarcliff Manor, NY 10510",01/29/2015,"$898,998",Posting Removed
"115 Scarborough Rd, Briarcliff Manor, NY 10510",09/03/2014,"$898,998",Price Change
"115 Scarborough Rd, Briarcliff Manor, NY 10510",04/30/2014,"$918,000",Price Change
"115 Scarborough Rd, Briarcliff Manor, NY 10510",12/04/2013,"$998,000",Price Change
"115 Scarborough Rd, Briarcliff Manor, NY 10510",09/25/2013,"$1,075,000",Price Change
"115 Scarborough Rd, Briarcliff Manor, NY 10510",09/15/2013,"$1,175,000",Listed For Sale
"507 Chappaqua Rd, Briarcliff Manor, NY 10510",11/20/2018,"$795,000",Sold
"57 Aspinwall Rd, Briarcliff Manor, NY 10510",11/01/2018,"$550,000",Sold
"792 Sleepy Hollow Rd, Briarcliff Manor, NY 10510",10/29/2018,"$1,495,000",Sold
"792 Sleepy Hollow Rd, Briarcliff Manor, NY 10510",03/18/2004,"$900,000",Sold
"3 Willow Dr, Briarcliff Manor, NY 10510",10/23/2018,"$575,068",Sold
"36 Willow Dr, Briarcliff Manor, NY 10510",10/01/2018,"$525,000",Sold
"10 Deer Hill Ln, Briarcliff Manor, NY 10510",09/20/2018,"$830,000",Sold
"10 Deer Hill Ln, Briarcliff Manor, NY 10510",02/06/2008,"$3,000,000",Posting Removed
"10 Deer Hill Ln, Briarcliff Manor, NY 10510",09/06/2007,"$3,000,000",Listed For Sale
"10 Deer Hill Ln, Briarcliff Manor, NY 10510",05/17/2007,"$3,000,000",Posting Removed
"10 Deer Hill Ln, Briarcliff Manor, NY 10510",12/08/2006,"$3,000,000",Listed For Sale
"10 Deer Hill Ln, Briarcliff Manor, NY 10510",10/28/1998,"$375,000",Sold
"115 Holly Pl, Briarcliff Manor, NY 10510",09/19/2018,"$1,270,000",Sold
"34 Magnolia Rd, Briarcliff Manor, NY 10510",09/19/2018,"$659,000",Sold
